timestamp,n,p,k,ph,umidade,temperatura,irrigou
2026-04-01 08:00:00,1,1,1,5,50.0,24.0,1
2026-04-01 08:28:00,1,1,1,5,50.8,15.5,1
2026-04-01 08:57:00,1,1,1,6,47.2,16.7,1
2026-04-01 09:29:00,1,1,1,6,54.1,18.0,1
2026-04-01 10:01:00,1,1,1,5,54.2,19.7,1
2026-04-01 10:30:00,1,1,0,7,46.2,18.8,1
2026-04-01 11:01:00,1,1,1,5,38.0,20.9,1
2026-04-01 11:30:00,1,1,1,6,43.1,20.4,1
2026-04-01 11:58:00,1,1,0,7,39.8,21.1,1
2026-04-01 12:29:00,1,1,1,5,50.7,21.7,1
2026-04-01 13:00:00,1,1,0,6,41.3,23.8,1
2026-04-01 13:29:00,1,1,1,5,39.6,25.0,1
2026-04-01 13:57:00,1,1,0,7,38.8,25.2,1
2026-04-01 14:27:00,1,1,1,7,62.5,23.8,0
2026-04-01 14:58:00,1,1,1,6,63.5,25.2,0
2026-04-01 15:29:00,1,1,1,7,66.0,25.8,0
2026-04-01 15:59:00,1,1,1,7,68.8,23.9,0
2026-04-01 16:27:00,1,1,1,5,69.5,23.6,0
2026-04-01 16:58:00,1,1,1,7,70.1,23.7,0
2026-04-01 17:26:00,1,1,1,5,73.2,24.4,0
2026-04-01 17:58:00,1,1,1,6,76.2,22.6,0
2026-04-01 18:29:00,1,1,1,5,79.2,23.2,0
2026-04-01 19:01:00,1,1,1,6,81.1,21.4,0
2026-04-01 19:32:00,1,1,1,7,82.1,22.2,0
2026-04-01 20:03:00,1,1,1,7,82.7,20.9,0
2026-04-01 20:31:00,1,1,1,6,83.4,20.2,0
2026-04-01 20:59:00,1,1,1,5,85.0,20.3,0
2026-04-01 21:30:00,1,1,1,7,87.1,19.4,0
2026-04-01 22:00:00,1,1,1,5,88.9,17.6,0
2026-04-01 22:29:00,1,1,1,6,92.0,17.9,0
2026-04-01 22:59:00,0,1,1,6,77.1,18.5,0
2026-04-01 23:27:00,1,1,1,5,74.9,16.1,0
2026-04-01 23:58:00,1,1,1,5,73.3,17.9,0
2026-04-02 00:29:00,1,1,1,7,70.1,17.8,0
2026-04-02 00:59:00,0,1,1,7,67.5,17.3,0
2026-04-02 01:28:00,1,1,1,7,64.4,16.0,0
2026-04-02 01:58:00,1,1,1,6,61.2,14.2,0
2026-04-02 02:27:00,0,1,1,7,59.0,14.1,1
2026-04-02 02:59:00,1,1,1,5,56.3,14.3,1
2026-04-02 03:29:00,0,1,1,6,53.0,13.3,1
2026-04-02 03:58:00,1,1,1,5,50.7,12.0,1
2026-04-02 04:27:00,0,1,1,6,48.6,12.2,1
2026-04-02 04:56:00,1,1,1,7,45.4,12.0,1
2026-04-02 05:25:00,0,1,1,5,42.4,13.6,1
2026-04-02 05:55:00,1,1,1,6,40.0,12.2,1
2026-04-02 06:25:00,1,1,1,3,39.8,13.9,0
2026-04-02 06:53:00,1,1,1,9,53.5,13.5,0
2026-04-02 07:21:00,1,1,1,9,50.7,15.8,0
2026-04-02 07:51:00,1,1,1,8,50.4,16.8,0
2026-04-02 08:20:00,1,1,1,4,38.7,16.8,0
2026-04-02 08:49:00,1,1,1,3,45.4,16.0,0
2026-04-02 09:18:00,1,1,1,10,39.9,18.3,0
2026-04-02 09:48:00,1,1,1,3,42.2,18.7,0
2026-04-02 10:18:00,1,1,1,10,51.9,20.8,0
2026-04-02 10:48:00,1,1,1,9,44.5,21.4,0
2026-04-02 11:16:00,0,1,0,6,46.9,21.7,0
2026-04-02 11:47:00,0,1,0,6,49.1,22.3,0
2026-04-02 12:16:00,0,1,0,7,53.0,21.7,0
2026-04-02 12:47:00,0,1,0,6,46.1,23.0,0
2026-04-02 13:16:00,0,1,0,6,35.2,23.1,0
2026-04-02 13:44:00,0,1,0,7,37.8,22.8,0
2026-04-02 14:12:00,0,1,0,7,52.0,24.0,0
2026-04-02 14:43:00,0,1,0,7,45.4,24.3,0
2026-04-02 15:14:00,0,1,0,6,54.8,25.6,0
2026-04-02 15:45:00,0,1,0,5,36.0,24.1,0
2026-04-02 16:14:00,0,1,1,6,36.1,24.1,1
2026-04-02 16:43:00,0,1,1,7,40.8,23.8,1
2026-04-02 17:13:00,1,1,1,7,46.5,23.5,1
2026-04-02 17:41:00,1,1,1,5,46.2,22.8,1
2026-04-02 18:11:00,1,1,0,6,54.0,23.6,1
2026-04-02 18:43:00,1,1,1,5,36.5,21.4,1
2026-04-02 19:14:00,0,1,1,5,35.4,20.4,1
2026-04-02 19:43:00,0,1,1,7,39.6,21.6,1
2026-04-02 20:11:00,1,1,0,6,44.8,22.2,1
2026-04-02 20:43:00,0,1,1,7,43.9,19.3,1
2026-04-02 21:11:00,0,1,1,5,56.8,21.1,1
2026-04-02 21:39:00,0,1,1,6,42.3,19.1,1
2026-04-02 22:11:00,0,1,1,5,54.1,20.0,1
2026-04-02 22:42:00,1,1,1,7,70.8,17.1,0
2026-04-02 23:13:00,1,1,1,6,70.6,18.2,0
2026-04-02 23:42:00,1,1,1,6,74.0,17.5,0
2026-04-03 00:13:00,1,1,1,5,65.7,18.3,0
2026-04-03 00:41:00,1,1,1,6,74.4,15.1,0
2026-04-03 01:11:00,1,1,1,5,69.1,15.6,0
2026-04-03 01:42:00,1,1,1,7,63.3,16.0,0
2026-04-03 02:13:00,1,1,1,7,66.6,14.7,0
2026-04-03 02:43:00,1,1,1,5,70.8,15.3,0
2026-04-03 03:11:00,1,1,1,7,61.0,13.9,0
2026-04-03 03:41:00,1,0,1,7,46.6,13.8,0
2026-04-03 04:12:00,1,0,1,7,35.8,14.0,0
2026-04-03 04:43:00,1,0,1,6,37.6,12.0,0
2026-04-03 05:14:00,1,0,1,7,36.9,12.0,0
2026-04-03 05:43:00,1,0,1,6,36.0,12.4,0
